Time,SessionTime,Date,Distance,X,Y,Speed,RPM,nGear,Throttle,Brake,DRS,Source
0 days 00:00:00,0 days 00:52:40.077000,2024-08-31 14:41:37.846,0.0,-1373.6920488346755,-678.5894695613653,321.7178578285714,11422.142939428571,8,100.0,False,8,interpolation
0 days 00:00:00.042000,0 days 00:52:40.119000,2024-08-31 14:41:37.888,3.755125002666667,-1371.0,-645.0,321.86785737142856,11440.142884571429,8,100.0,False,8,pos
0 days 00:00:00.079000,0 days 00:52:40.156000,2024-08-31 14:41:37.925,7.064569447111111,-1368.5074576119991,-613.7749273500212,322.0,11456.0,8,100.0,False,14,car
0 days 00:00:00.222000,0 days 00:52:40.299000,2024-08-31 14:41:38.068,19.926128506666668,-1358.0,-484.0,323.7875008,11455.4041664,8,100.0,False,14,pos
0 days 00:00:00.319000,0 days 00:52:40.396000,2024-08-31 14:41:38.165,28.683072951111114,-1350.4251753430035,-397.24233117867516,325.0,11455.0,8,100.0,False,12,car
0 days 00:00:00.562000,0 days 00:52:40.639000,2024-08-31 14:41:38.408,50.73240820783839,-1330.0,-177.0,326.65681861818183,11521.8250176,8,100.0,False,12,pos
0 days 00:00:00.759000,0 days 00:52:40.836000,2024-08-31 14:41:38.605,68.68129709672728,-1312.3964707262073,19.722810341178572,328.0,11576.0,8,100.0,False,12,car
0 days 00:00:00.802000,0 days 00:52:40.879000,2024-08-31 14:41:38.648,72.60553539864114,-1309.0,58.0,328.54088109046296,11578.974845997547,8,100.0,False,12,pos
0 days 00:00:00.918000,0 days 00:52:40.995000,2024-08-31 14:41:38.764,83.23886873197446,-1301.1219614492497,146.90941121927125,330.0,11587.0,8,100.0,False,12,car
0 days 00:00:01.022000,0 days 00:52:41.099000,2024-08-31 14:41:38.868,92.7722020653078,-1293.0,240.0,330.0,11654.6,8,100.0,False,12,pos
0 days 00:00:01.078000,0 days 00:52:41.155000,2024-08-31 14:41:38.924,97.90553539864113,-1287.2719534880687,306.4152484006522,330.0,11691.0,8,100.0,False,12,car
0 days 00:00:01.278000,0 days 00:52:41.355000,2024-08-31 14:41:39.124,116.29442428753002,-1262.5907047520318,594.7465608580351,331.0,11699.0,8,100.0,False,12,car
0 days 00:00:01.302000,0 days 00:52:41.379000,2024-08-31 14:41:39.148,118.50209095419669,-1260.0,625.0,331.15,11709.2,8,100.0,False,12,pos
0 days 00:00:01.438000,0 days 00:52:41.515000,2024-08-31 14:41:39.284,131.0443131764189,-1247.7169840289089,768.1596060766992,332.0,11767.0,8,100.0,False,12,car
0 days 00:00:01.838000,0 days 00:52:41.915000,2024-08-31 14:41:39.684,168.15542428753002,-1225.2489304660087,1027.14430634814,334.0,11827.0,8,100.0,False,12,car
0 days 00:00:01.842000,0 days 00:52:41.919000,2024-08-31 14:41:39.688,168.52655762086337,-1225.0,1030.0,334.02,11826.86,8,100.0,False,12,pos
0 days 00:00:02.038000,0 days 00:52:42.115000,2024-08-31 14:41:39.884,186.76544650975222,-1211.6192257615157,1183.4098358869114,335.0,11820.0,8,100.0,False,12,car
0 days 00:00:02.183000,0 days 00:52:42.260000,2024-08-31 14:41:40.029,200.27936019102208,-1201.0,1308.0,335.5178569142857,11831.392852114286,8,100.0,False,12,pos
0 days 00:00:02.318000,0 days 00:52:42.395000,2024-08-31 14:41:40.164,212.8793601910221,-1190.8582265392574,1430.3385116283657,336.0,11842.0,8,100.0,False,12,car
0 days 00:00:02.363000,0 days 00:52:42.440000,2024-08-31 14:41:40.209,217.08170393768876,-1187.0,1476.0,336.1874997333333,11864.124968533333,8,100.0,False,12,pos
0 days 00:00:02.558000,0 days 00:52:42.635000,2024-08-31 14:41:40.404,235.33587060435542,-1166.997391734428,1705.0491756315184,337.0,11960.0,8,100.0,False,12,car
0 days 00:00:02.623000,0 days 00:52:42.700000,2024-08-31 14:41:40.469,241.423852854232,-1161.0,1774.0,337.18055537777775,11943.750016,8,100.0,False,12,pos
0 days 00:00:02.918000,0 days 00:52:42.995000,2024-08-31 14:41:40.764,269.1210750764542,-1142.123038902317,1998.871411301467,338.0,11870.0,8,100.0,False,12,car
0 days 00:00:02.963000,0 days 00:52:43.040000,2024-08-31 14:41:40.809,273.3480840021685,-1139.0,2035.0,338.16071405714285,11870.0,8,100.0,False,12,pos
0 days 00:00:03.198000,0 days 00:52:43.275000,2024-08-31 14:41:41.044,295.47725066883515,-1119.515787050487,2255.6795357800634,339.0,11870.0,8,100.0,False,12,car
0 days 00:00:03.243000,0 days 00:52:43.320000,2024-08-31 14:41:41.089,299.7163131666129,-1116.0,2298.0,339.1249998222222,11882.749981866667,8,100.0,False,12,pos
0 days 00:00:03.283000,0 days 00:52:43.360000,2024-08-31 14:41:41.129,303.4856032880944,-1113.0,2335.0,339.23611093333335,11894.0833152,8,100.0,False,12,pos
0 days 00:00:03.523000,0 days 00:52:43.600000,2024-08-31 14:41:41.369,326.14578846142774,-1092.0,2570.0,339.9027776,11962.0833152,8,100.0,False,12,pos
0 days 00:00:03.558000,0 days 00:52:43.635000,2024-08-31 14:41:41.404,329.4513440169833,-1089.0886916439258,2603.599726320996,340.0,11972.0,8,100.0,False,12,car
0 days 00:00:03.763000,0 days 00:52:43.840000,2024-08-31 14:41:41.609,348.83677514364996,-1073.0,2796.0,340.4270832,11967.729168,8,100.0,False,12,pos
0 days 00:00:03.943000,0 days 00:52:44.020000,2024-08-31 14:41:41.789,365.87687930364996,-1058.0,2966.0,340.8020832,11963.979168,8,100.0,False,12,pos
0 days 00:00:04.038000,0 days 00:52:44.115000,2024-08-31 14:41:41.884,374.8754904147611,-1051.5292112511256,3043.464783991436,341.0,11962.0,8,100.0,False,12,car
0 days 00:00:04.223000,0 days 00:52:44.300000,2024-08-31 14:41:42.069,392.4207082103166,-1036.0,3230.0,341.4204544,12028.0113408,8,100.0,False,12,pos
0 days 00:00:04.403000,0 days 00:52:44.480000,2024-08-31 14:41:42.249,409.5121854757711,-1009.0,3534.0,341.8295453090909,12092.238613527272,8,100.0,False,12,pos
0 days 00:00:04.478000,0 days 00:52:44.555000,2024-08-31 14:41:42.324,416.6371854757711,-1002.4552609392492,3609.491939819971,342.0,12119.0,8,100.0,False,12,car
0 days 00:00:04.723000,0 days 00:52:44.800000,2024-08-31 14:41:42.569,440.0163955179933,-995.0,3705.0,343.5312496,12203.9843528,8,100.0,False,12,pos
0 days 00:00:04.798000,0 days 00:52:44.875000,2024-08-31 14:41:42.644,447.18306218466,-989.348984988311,3769.9423111283786,344.0,12230.0,8,100.0,False,12,car
0 days 00:00:04.903000,0 days 00:52:44.980000,2024-08-31 14:41:42.749,457.23170800865995,-980.0,3876.0,344.52499968,12157.55004416,8,100.0,False,12,pos
0 days 00:00:04.998000,0 days 00:52:45.075000,2024-08-31 14:41:42.844,466.3358746753267,-972.9477269579315,3956.6472767352534,345.0,12092.0,8,100.0,False,12,car
0 days 00:00:05.278000,0 days 00:52:45.355000,2024-08-31 14:41:43.124,493.24698578643773,-950.5221447234077,4217.8996570843665,346.0,12121.0,8,100.0,False,12,car
0 days 00:00:05.303000,0 days 00:52:45.380000,2024-08-31 14:41:43.149,495.64976356421556,-947.0,4259.0,346.0,12139.478220910598,8,100.0,False,12,pos
0 days 00:00:05.439000,0 days 00:52:45.516000,2024-08-31 14:41:43.285,508.7208746753267,-924.6003345569729,4520.033607500394,346.0,12240.0,8,100.0,False,12,car
0 days 00:00:05.443000,0 days 00:52:45.520000,2024-08-31 14:41:43.289,509.1053191197711,-924.0,4527.0,346.0,12240.0,8,100.0,False,12,pos
0 days 00:00:05.599000,0 days 00:52:45.676000,2024-08-31 14:41:43.445,524.0986524531045,-906.1749090492997,4731.7895911009955,346.0,12240.0,8,100.0,False,12,car
0 days 00:00:05.759000,0 days 00:52:45.836000,2024-08-31 14:41:43.605,539.5208746753267,-895.8536938113141,4847.346132128197,347.0,12240.0,8,100.0,False,12,car
0 days 00:00:05.823000,0 days 00:52:45.900000,2024-08-31 14:41:43.669,545.6897635642156,-892.0,4891.0,347.0,12245.6,8,100.0,False,12,pos
0 days 00:00:05.999000,0 days 00:52:46.076000,2024-08-31 14:41:43.845,562.6542080086599,-881.9237993072838,5007.000666178177,347.0,12261.0,8,100.0,False,12,car
0 days 00:00:06.159000,0 days 00:52:46.236000,2024-08-31 14:41:44.005,578.0764302308821,-873.0427828276888,5111.395746710455,347.0,12250.0,8,100.0,False,12,car
0 days 00:00:06.302000,0 days 00:52:46.379000,2024-08-31 14:41:44.148,591.8758198984376,-864.0,5218.0,347.3972224,12227.7555456,8,100.0,False,12,pos
0 days 00:00:06.519000,0 days 00:52:46.596000,2024-08-31 14:41:44.365,612.8524865651043,-846.3356568374631,5426.0595798176255,348.0,12194.0,8,100.0,False,12,car
0 days 00:00:06.522000,0 days 00:52:46.599000,2024-08-31 14:41:44.368,613.1424796205117,-846.0,5430.0,347.9916664888889,12194.266672355556,8,100.0,False,12,pos
0 days 00:00:06.702000,0 days 00:52:46.779000,2024-08-31 14:41:44.548,630.5170629449561,-823.0,5699.0,347.4916664888889,12210.266672355556,8,100.0,False,12,pos
0 days 00:00:06.879000,0 days 00:52:46.956000,2024-08-31 14:41:44.725,647.5778962782895,-809.2430888240224,5855.97272606639,347.0,12226.0,8,100.0,False,12,car
0 days 00:00:07.102000,0 days 00:52:47.179000,2024-08-31 14:41:44.948,669.0726185005118,-798.0,5987.0,347.0,12206.8857088,8,100.0,False,12,pos
0 days 00:00:07.159000,0 days 00:52:47.236000,2024-08-31 14:41:45.005,674.5667851671784,-793.944121859314,6037.424064788873,347.0,12202.0,8,100.0,False,12,car
0 days 00:00:07.282000,0 days 00:52:47.359000,2024-08-31 14:41:45.128,686.4109448833266,-784.0,6160.0,346.65833315555557,12180.133321955556,8,100.0,False,12,pos
0 days 00:00:07.482000,0 days 00:52:47.559000,2024-08-31 14:41:45.328,705.6388769722155,-766.0,6364.0,346.1027776,12144.5777664,8,100.0,False,12,pos
0 days 00:00:07.519000,0 days 00:52:47.596000,2024-08-31 14:41:45.365,709.1949880833266,-762.0147359576546,6410.188774639677,346.0,12138.0,8,100.0,False,12,car
0 days 00:00:07.678000,0 days 00:52:47.755000,2024-08-31 14:41:45.524,724.4766547499933,-743.1609065901744,6634.30709849226,346.0,12201.0,8,100.0,False,14,car
0 days 00:00:07.742000,0 days 00:52:47.819000,2024-08-31 14:41:45.588,730.6277658611044,-737.0,6708.0,346.0,12174.066666666668,8,100.0,False,14,pos
0 days 00:00:07.918000,0 days 00:52:47.995000,2024-08-31 14:41:45.764,747.54332141666,-726.5788974098738,6832.340602030154,346.0,12100.0,8,100.0,False,10,car
0 days 00:00:08.022000,0 days 00:52:48.099000,2024-08-31 14:41:45.868,757.4554201820921,-721.0,6899.0,343.1111111111111,11907.022222222222,8,71.11111111111111,False,10,pos
0 days 00:00:08.278000,0 days 00:52:48.355000,2024-08-31 14:41:46.124,781.3487535154254,-701.1233100989064,7138.191042134307,336.0,11432.0,8,0.0,True,8,car
0 days 00:00:08.302000,0 days 00:52:48.379000,2024-08-31 14:41:46.148,783.5557535154253,-699.0,7164.0,331.05,11325.35,8,0.0,True,8,pos
0 days 00:00:08.438000,0 days 00:52:48.515000,2024-08-31 14:41:46.284,795.002420182092,-686.413346532074,7318.020952781926,303.0,10721.0,8,0.0,True,8,car
